"cliente","documento","pagado","importe"
11473,"H63940620",0,306
11473,"W55855606",0,2018
11473,"W97521800",1,319
11473,"M69913807",1,1871
52526,"N96417408",0,1208
52526,"Y01163851",0,1703
52526,"G12232788",1,1237
52526,"L88946491",1,1551
52526,"X23886069",1,115
52526,"I65033785",0,1921
52526,"V83783831",0,1916
52526,"Z88544902",1,259
52526,"O05217434",0,739
52526,"R42917085",0,1856
52526,"C35049311",1,1914
52526,"Q37905130",1,717
68738,"L35180149",1,208
68738,"C31687337",0,448
68738,"C81733246",1,234
68738,"C88168347",1,1019
68738,"P12883652",1,1626
68738,"G58154766",0,1978
68738,"G80324430",1,1767
68738,"D10573979",0,839
68738,"D62959159",1,1823
68738,"H46197580",1,406
68738,"X71788352",0,2339
68738,"J74461801",1,1799
68738,"Y02684513",1,254
68738,"N48961372",0,1526
68738,"E61345959",0,1296
68738,"K15151047",0,814
68738,"S90726305",1,745
68738,"P90994134",1,1884
10532,"E28813159",1,1616
10532,"N84463525",0,607
10532,"Z70602630",1,1275
10532,"S52384594",0,996
10532,"L99400361",1,1005
10532,"Z81441165",1,2328
10532,"B85669636",0,598
10532,"R69297804",0,445
10532,"T15982473",1,685
10532,"F21806713",0,1551
10532,"Q61428990",0,540
10532,"H87158449",0,2053
10532,"J11515628",1,1568
10532,"C05049275",1,706
56514,"M40994930",0,71
56514,"R94587566",1,2300
56514,"X87775744",0,1005
56514,"A55092071",0,526
56514,"K11076620",0,2227
56514,"S75247081",0,214
56514,"E06307608",1,1751
56514,"U31119394",1,867
56514,"J06095383",0,304
56514,"J04192604",0,2082
56514,"R13474084",0,699
56514,"C00101030",1,2110
56514,"U83096581",0,29
56514,"N33658418",1,1954
56514,"E00483271",1,2202
56514,"U71926054",0,1270
56514,"P67993483",0,859
56514,"N32394673",1,1711
56514,"Z91662392",1,1382
20775,"W77492636",0,107
20775,"K35002632",0,244
20775,"J59415177",1,1002
20775,"V08942666",1,2009
30942,"Z79117786",1,1671
30942,"U08238852",1,1777
30942,"W74124512",0,1607
30942,"F24794283",0,2061
30942,"J26262888",1,634
30942,"E36046328",0,924
30942,"A63767737",1,1018
30942,"Y40793476",0,556
30942,"G04730727",0,208
30942,"Z73998605",1,1226
30942,"T24947943",1,1823
27154,"P85178972",1,1533
27154,"M52928925",1,865
27154,"Q56258680",0,2230
27154,"G66154801",0,1706
27154,"G59537085",0,848
27154,"R82815111",0,162
27154,"C88154485",1,1335
27154,"C37563398",1,165
63738,"I60604097",1,2287
63738,"Z97329628",0,2096
63738,"W14876429",0,44
63738,"B82379465",0,2043
63738,"D03897844",1,1534
63738,"W50668644",1,2256
63738,"F32834708",1,1894
63738,"S52244960",0,1497
63738,"I59960212",1,976
63738,"A48095912",0,632
63738,"G48061151",1,97
63738,"T16246742",1,702
63738,"V26197146",1,636
63738,"S65942329",0,1724
63738,"R66650147",1,870
63738,"W38470938",0,220
63738,"Y01229182",0,904
63738,"K69747899",1,1401
63738,"O63430876",1,1653
13425,"Y18554220",1,952
13425,"Z40163563",1,419
13425,"U24830619",1,2124
13425,"I89299941",0,2125
13425,"F70015945",1,2337
13425,"E40431508",0,425
13425,"C97685597",1,644
13425,"A23510000",0,1951
13425,"F76240721",0,1838
13425,"L95316130",1,1919
13425,"Y91490934",1,2238
13425,"J63572376",1,984
13425,"L09139534",0,886
13425,"W48288222",0,227
13425,"P86647197",1,2204
13425,"I82872167",0,1405
13425,"K41441814",0,2016
13425,"W07057181",0,2084
13425,"E97964067",1,1793
13425,"Y91527221",1,1651
14508,"W11272903",0,1860
14508,"X73217189",1,487
14508,"I96670631",0,288
14508,"W02876581",0,215
14508,"M13322998",0,902
14508,"F42249004",0,1432
14508,"W92608481",0,900
14508,"P14484887",0,2170
14508,"G32851568",1,193
14508,"M99413399",1,1120
69281,"A25616276",1,110
69281,"A87519472",1,1285
69281,"A78456014",0,989
69281,"G54912939",0,1546
69281,"L07859735",1,505
69281,"I53889711",1,2214
69281,"E07622445",0,1209
69281,"R47475337",1,1745
69281,"X52584938",0,576
69281,"O72590337",0,1830
69281,"O80525392",0,1973
69281,"U81065993",0,1188
69281,"L06159077",0,326
69281,"W29418709",1,1765
69281,"A06248653",1,1280
69380,"A48132383",0,1832
69380,"G85393336",1,684
69380,"H12074568",0,1827
69380,"M07355614",0,125
69380,"T88760888",0,618
69380,"U54192756",0,1573
69380,"B67926598",0,1033
69380,"E66375247",0,848
69380,"X12954643",0,1912
69380,"X56098839",1,1175
69380,"R21681183",1,876
75196,"Z26225740",1,2084
75196,"W29240460",0,72
75196,"A06861862",0,674
75196,"M32984353",1,1298
75196,"A75534071",1,679
70414,"L91305682",0,632
70414,"L76745309",0,597
70414,"V37282503",1,2324
70414,"D31796751",1,2208
70414,"H03555149",0,772
70414,"S47859541",0,2018
70414,"G18435920",1,446
70414,"G49577105",0,1889
70414,"K59618201",0,365
70414,"S73424094",0,2111
70414,"C55002413",0,778
70414,"R41592424",1,2083
70414,"C10172152",1,405
85884,"X11744508",1,2128
85884,"D44163654",1,850
85884,"P36611263",0,2081
85884,"B35398462",0,1610
85884,"W49127828",1,1872
85884,"F52332581",1,850
31026,"B81068223",1,70
31026,"O12545509",1,768
31026,"D61105350",0,403
31026,"G53346945",0,1909
31026,"C91918075",0,1284
31026,"C43383239",1,1834
31026,"L25487433",1,2100
31026,"P12115077",0,1126
31026,"W37043350",1,1603
31026,"H75532057",0,1889
31026,"L94345511",0,1651
31026,"D30628057",0,1185
31026,"U69271820",0,475
31026,"Y29722332",1,352
31026,"X29180641",1,2268
32352,"X71381092",1,202
32352,"G64565631",0,182
32352,"E75506142",0,795
32352,"Q82916682",1,519
32352,"F07171323",1,301
32352,"R92573091",1,2279
32352,"N63956309",1,692
32352,"H74355831",1,787
32352,"A88249008",0,711
32352,"R47591407",0,169
32352,"P59548083",0,2107
32352,"A48103250",0,249
32352,"M28158255",1,1512
32352,"J29726024",1,1333
55625,"P75478643",0,248
55625,"U25757898",0,638
55625,"H73704008",1,1391
55625,"D87045532",0,1213
55625,"F40950681",1,720
55625,"R15810467",0,35
55625,"Y84251305",0,2201
55625,"P29320800",0,2031
55625,"N64549105",0,294
55625,"D92238950",0,557
55625,"G34488675",1,1257
55625,"U21023665",1,1106
45183,"O78596456",1,2203
45183,"E58568512",1,1806
45183,"E43317646",0,439
45183,"L25498754",0,477
45183,"Y32168600",1,1069
45183,"X45528655",1,672
45183,"V86148087",0,1494
45183,"D82615224",1,18
45183,"L85024334",0,2210
45183,"I18347910",0,645
45183,"A96728447",0,195
45183,"V61753669",0,2100
45183,"X86134105",0,1472
45183,"R18595920",0,618
45183,"W24733730",1,1300
45183,"T28798745",1,998
42430,"X86278398",0,512
42430,"N52747944",1,337
42430,"P52062057",1,1999
42430,"D54498458",1,426
42430,"Q68577596",1,778
42430,"Z40845192",1,1711
42430,"H19941638",1,442
42430,"G94090611",1,795
42430,"B94280610",1,2191
42430,"P90356687",1,1192
42430,"R70003321",1,148
42430,"K62590636",0,564
42430,"X58340228",0,217
42430,"I01638263",0,30
42430,"Q47688119",0,370
42430,"W23370149",1,1248
42430,"E64427272",1,1265
48615,"C79609816",0,1159
48615,"L41895513",1,1722
48615,"E96646736",1,1890
48615,"E81965545",0,819
48615,"W26640271",0,526
48615,"M38815008",0,2125
48615,"M72661175",1,1044
48615,"F62387388",1,370
50144,"J27948343",0,1697
50144,"A42653443",1,2345
50144,"O33021839",1,1185
50144,"B23019739",0,1142
50144,"X95508514",0,502
50144,"S49819824",1,1141
50144,"J14712542",1,1628
50144,"D51497457",1,84
50144,"F85641213",1,286
50144,"H65663842",1,688
50144,"V72640770",0,702
50144,"B76172437",0,2183
50144,"C42031979",0,493
50144,"T57450727",1,1130
50144,"X03117137",0,2186
50144,"P09849975",0,2079
50144,"P75769296",1,1933
50144,"Y91701275",1,1670
60052,"C12168549",0,472
60052,"M33099629",1,1965
60052,"S60633976",1,1032
60052,"P55578442",0,314
60052,"Q21763938",0,1615
60052,"E50486565",0,1557
60052,"W18613010",1,1113
60052,"T98037890",1,2262
76807,"I33113054",0,2172
76807,"K65118858",1,1955
76807,"V32822467",0,175
76807,"U48252225",1,1554
76807,"O46973503",0,1348
76807,"D91327266",0,1067
76807,"R58877155",1,1299
76807,"H40735669",1,469
76807,"F19608251",1,425
76807,"V34490346",0,1575
76807,"G40170056",0,1243
76807,"D75597828",0,462
76807,"E85813535",1,1588
76807,"R42270931",1,1399
56457,"B19695798",0,711
56457,"D96911086",0,892
56457,"E99691450",0,1731
56457,"Z46539480",1,1347
56457,"J03199635",0,2135
56457,"D65779199",0,1627
56457,"T79571114",1,718
56457,"S75248810",1,2171
56457,"T67828125",0,1092
56457,"Q48137537",0,1610
56457,"V03726337",1,1554
56457,"Y16971446",1,1840
33729,"H29274992",1,589
33729,"H39802027",0,360
33729,"K07961491",1,965
33729,"P82731105",1,631
33729,"Z69926285",1,305
33729,"L32996366",1,1336
33729,"Y98401504",1,2001
33729,"N72230787",0,2081
33729,"O03930272",1,898
33729,"J83978969",1,1261
33729,"C64349770",1,1938
33729,"N06406285",0,1319
33729,"C06509865",0,1214
33729,"G53140816",0,1700
33729,"O49220519",0,2237
33729,"P22061969",1,1295
33729,"X58834069",1,393
47701,"K50648024",1,766
47701,"S93925180",1,717
47701,"R21651986",0,1150
47701,"U51970638",0,1761
47701,"J80465354",0,1440
47701,"H86482799",1,1029
47701,"G71772502",1,884
47701,"N03025799",1,555
47701,"E76522070",0,1668
47701,"F96754372",1,2026
47701,"I83938577",0,599
47701,"T06120000",1,1755
47701,"K95848569",1,177
47701,"Q26223804",0,1937
47701,"V73988335",0,1684
47701,"M30965869",1,11
47701,"B17692642",1,1162
15527,"D77817746",1,92
15527,"N28835327",1,1366
15527,"N18592369",1,752
15527,"Q92818103",0,414
15527,"K89115688",1,2278
15527,"Q67170976",0,869
15527,"P68374704",0,398
15527,"N96271446",1,1999
15527,"R38761396",1,1417
15527,"T63200375",1,438
15527,"O62267690",0,1240
15527,"G46086043",1,300
15527,"X15673832",0,129
15527,"X42087793",0,178
15527,"E84576832",1,108
15527,"V06709924",1,1538
48101,"L63150093",0,1125
48101,"I47356191",0,2121
48101,"E12188233",0,2053
48101,"W05834984",1,2267
48101,"M14843170",0,525
48101,"D07819096",0,1426
48101,"U50069198",0,658
48101,"Z37818310",0,1881
48101,"F20033639",0,426
48101,"Y97347349",1,1123
48101,"O52149171",1,1477
10768,"N85851046",1,252
10768,"V66375167",1,1890
10768,"D68700731",1,2286
10768,"K87914764",0,812
10768,"Y88904534",1,61
10768,"H59587132",0,996
10768,"L85286781",0,56
10768,"H72291492",0,1410
10768,"H66995341",0,2180
10768,"L42586299",0,1625
10768,"T53850522",1,1554
10768,"G90475859",1,240
10768,"H02968938",1,1690
10768,"V14607933",0,245
10768,"M88394548",1,1981
10768,"D53202665",0,1299
10768,"U61958065",0,2328
10768,"S70854494",1,325
10768,"L19860900",1,1284
57860,"I23955724",0,2025
57860,"E36777109",1,2351
57860,"S69147776",1,75
57860,"U33729142",1,2277
57860,"Q70070804",0,1294
57860,"Y29832378",1,461
57860,"O24500984",1,569
57860,"T76929292",1,1656
57860,"E68922009",0,424
57860,"K24755070",0,430
57860,"J76557999",1,1135
57860,"I61758519",1,76
64016,"V84976590",0,2136
64016,"X00698348",0,486
64016,"G41942439",0,2268
64016,"E44527378",1,1748
64016,"H94352021",1,163
64000,"N51461108",0,1169
64000,"R56236442",1,647
64000,"R23798889",1,456
64000,"P05451333",0,1180
64000,"U15051234",0,643
64000,"N78594156",0,1584
64000,"Z06796986",0,693
64000,"M83980764",0,1227
64000,"Z22586064",0,516
64000,"E32208187",1,214
64000,"M07258979",0,695
64000,"M60090238",0,2070
64000,"A06577781",1,622
64000,"E64943238",0,1647
64000,"U28386273",0,551
64000,"T84487368",1,1782
64000,"B58546091",1,2248
38555,"D81601420",0,173
38555,"P81739867",0,1859
38555,"Y98081911",1,104
38555,"K14333802",1,1259
38555,"Y22735194",1,2259
38555,"I47065652",1,744
38555,"M06751506",0,489
38555,"H85503867",0,926
38555,"P87245850",1,655
38555,"F68670254",0,1472
38555,"X34744035",0,511
38555,"K60488546",0,1816
38555,"I34609432",0,1358
38555,"A63097217",0,839
38555,"H64985592",0,1297
38555,"W15158742",1,1598
38555,"Z65804010",1,1249
71755,"M21610158",0,2295
71755,"J59005723",0,1524
71755,"N98392214",0,295
71755,"E07140881",1,609
71755,"P96678154",1,1803
71755,"H22919388",0,1157
71755,"L74659701",0,1198
71755,"F41424358",1,1006
71755,"J98527801",1,401
81649,"V61390381",0,969
81649,"U78826029",0,2066
81649,"W04319774",1,1723
81649,"R77045470",1,1626
37127,"D87888987",1,2112
37127,"K45579535",1,614
37127,"P55806266",0,797
37127,"W74464025",0,2309
37127,"P60187368",1,1490
37127,"Z55471086",1,1645
26024,"U55375699",1,1300
26024,"Q30609702",1,1941
26024,"K72102460",1,513
26024,"K58600815",1,830
26024,"V96468596",0,1265
26024,"H25356164",0,168
26024,"T17029643",0,705
26024,"U96516326",1,488
26024,"K96437160",1,209
85220,"T19450460",1,845
85220,"Q53976318",1,276
85220,"H71568544",0,335
85220,"C87674396",0,983
85220,"N80177111",0,2319
85220,"M93175180",0,1835
85220,"W20163299",1,1212
85220,"N72292741",1,1896
20222,"V43755237",0,1197
20222,"D59264845",0,1892
20222,"K61827329",0,982
20222,"B34630802",0,48
20222,"G70307834",0,409
20222,"L41508647",0,1747
20222,"H32006517",1,1176
20222,"K59578157",1,148
25785,"Y97630200",1,514
25785,"K40553965",0,886
25785,"R34478642",0,167
25785,"B79568700",1,1587
25785,"U08351019",1,1468
25785,"N06237137",0,1797
25785,"B41836728",1,1683
25785,"Q65536616",0,1085
25785,"Y77268230",0,2153
25785,"Q74821617",1,251
25785,"L90991932",1,2024
25785,"V42242292",1,1008
25785,"B53495171",0,1413
25785,"N22819322",0,506
25785,"V85224772",1,702
25785,"L67518217",1,2250
46468,"G35393516",0,116
46468,"R92345817",0,749
46468,"K68828457",1,1137
46468,"S59906662",1,905
46468,"A84647800",1,658
46468,"B21324623",1,1779
46468,"L13626809",0,1455
46468,"Q33912070",1,939
46468,"E33595484",0,869
46468,"B44142585",0,424
46468,"F70330464",1,102
46468,"E21763509",1,723
84851,"E62237943",0,318
84851,"G92363926",0,84
84851,"K89426075",0,1617
84851,"S17056254",1,268
84851,"O40089063",0,161
84851,"S93274431",0,2001
84851,"B50675248",0,1880
84851,"K37784019",0,1929
84851,"D52833996",0,443
84851,"T69386724",0,347
84851,"C46201829",1,1996
84851,"K87169316",1,1245
84851,"G22355905",1,635
84851,"H66082674",1,620
84851,"H89090399",0,1907
84851,"C51857170",0,38
84851,"N55848686",1,420
84851,"X79465062",1,817
45469,"G93282563",0,759
45469,"Z76917963",0,1963
45469,"C83139367",1,585
45469,"M10527121",1,882
72153,"K00166964",0,1650
72153,"Q36876443",0,2235
72153,"A42470552",0,289
72153,"P60507686",0,749
72153,"I43138346",0,2142
72153,"Q25340635",1,878
72153,"N85553226",1,1172
84846,"N90419687",0,1217
84846,"R81670323",0,2289
84846,"K85176203",1,2063
84846,"T56726323",0,498
84846,"S05511497",0,628
84846,"F44415880",1,1581
84846,"O38102787",0,1332
84846,"E45098825",0,1383
84846,"S80035387",0,2102
84846,"G44376613",0,1443
84846,"T29199998",1,1247
84846,"W66734858",1,858
84846,"P65347440",0,1775
84846,"P12308230",0,795
84846,"D26562475",1,1363
84846,"T30024586",1,681
13050,"Z88837964",0,375
13050,"M68543154",0,13
13050,"E48319760",1,1054
13050,"B36339827",1,1334
13050,"N24514272",0,2118
13050,"K93064934",1,1515
13050,"O48693569",0,1915
13050,"D69582697",0,478
13050,"L55313009",1,1312
13050,"X39376171",1,1816
45924,"E39364816",1,2294
45924,"S78850539",1,1993
45924,"Z91419220",0,1374
45924,"X99156347",0,1587
45924,"U21579454",0,948
45924,"M28539365",1,1374
45924,"J13846684",0,1577
45924,"B50251377",0,1087
45924,"T71792071",1,288
45924,"X94662973",1,267
34164,"I25865598",0,743
34164,"N26054989",1,1998
34164,"D30008641",1,1084
34164,"S66760844",0,1378
34164,"Z42425433",1,1734
34164,"V90349373",1,1930
34164,"Z88989448",1,1473
34164,"N43464157",1,497
34164,"M89004153",1,476
34164,"O63047037",1,634
34164,"E69943396",1,1902
34164,"D54018571",0,1809
34164,"E80432668",0,1383
34164,"V35975207",1,1856
34164,"R09864369",1,1602
12917,"V87576739",0,717
12917,"O61942479",1,1144
12917,"P89182389",0,643
12917,"N18463902",1,1811
12917,"S47523330",1,2053
12917,"Y14217573",0,1630
12917,"C35840692",0,1723
12917,"R80148206",0,2155
12917,"G37143358",0,117
12917,"I04768963",1,487
12917,"O91892751",1,373
59832,"G66623518",1,110
59832,"W81499547",0,2171
59832,"P74201200",0,2275
59832,"P19797430",1,1548
59832,"W55551237",0,179
59832,"C92239086",1,1696
59832,"R74433993",1,1903
59832,"B56692777",0,1283
59832,"D27283812",0,1845
59832,"L33858734",1,664
59832,"A48892247",1,1595
27136,"X30100635",0,1118
27136,"N42497472",1,986
27136,"I09515865",0,1158
27136,"L74291912",1,1071
27136,"G16158774",0,526
27136,"I84690708",1,1769
27136,"F60482065",1,1666
27136,"X14121090",0,308
27136,"D23555819",1,918
27136,"K69450305",0,1360
27136,"S98440118",0,2346
27136,"A59158035",0,2224
27136,"E30279165",1,213
27136,"N14531359",1,2321
20816,"F00984066",1,1326
20816,"V72086065",1,1891
20816,"A50474195",0,1464
20816,"D29297994",1,1543
20816,"D01738376",1,1540
20816,"Q02686405",1,1803
20816,"X74805965",1,1827
20816,"N90456202",1,400
20816,"G15126508",0,2284
20816,"V12848149",0,392
20816,"Q41427469",1,231
20816,"A42672337",1,848
43595,"Z78130346",1,1814
43595,"M02055721",1,726
43595,"C60369232",0,785
43595,"Q94196820",1,328
43595,"O42082686",0,2328
43595,"A26214134",0,1022
43595,"H94828979",0,649
43595,"H74383747",0,2114
43595,"Z16732945",1,1856
43595,"D13059137",1,1506
43595,"T22459552",0,1901
43595,"Y81134914",0,1413
43595,"I17936120",1,1055
43595,"S04045226",0,1283
43595,"A40280079",0,1048
43595,"C02876079",1,462
43595,"Q55662604",1,1304
79542,"W63177049",0,177
79542,"A88910728",1,1879
79542,"Z26825055",0,1005
79542,"I04427898",1,1685
79542,"T94917110",0,1569
79542,"O67474417",0,1147
79542,"A50318478",1,1250
79542,"C21527937",1,616
72747,"N46849768",1,1927
72747,"Z61774418",1,1425
72747,"Z50474894",0,489
72747,"X60511590",1,2156
72747,"Z46224943",1,2291
72747,"V18224998",1,1987
72747,"B54245120",1,1195
72747,"M52081653",0,676
72747,"X51039849",1,2114
72747,"U44938830",0,1066
72747,"Q06488216",1,254
72747,"J66791307",0,760
72747,"R30435883",1,1440
72747,"C17897248",0,430
72747,"W99396308",0,416
72747,"R64398497",1,919
72747,"W10011629",1,1937
36596,"Y88731696",0,690
36596,"G51141060",1,2096
36596,"S68226733",1,1319
36596,"B20080017",1,1144
36596,"V57335935",1,887
36596,"Z50145894",1,337
36596,"H91329444",1,1645
36596,"E88277214",0,741
36596,"Q70992410",0,1168
36596,"C09188239",1,69
36596,"W74363677",1,2065
36596,"I10247399",1,2053
36596,"J91162985",0,1170
36596,"J34211500",1,1585
36596,"G20443428",0,2090
36596,"R96820369",0,1513
36596,"J89354296",0,1808
36596,"L21910232",1,1517
36596,"R29103835",1,2178
67488,"X78827317",0,1377
67488,"L36949975",0,1747
67488,"B64423248",0,1700
67488,"A40355025",1,2230
67488,"H19999287",1,2131
52617,"Y30673452",1,351
52617,"L87266796",0,97
52617,"V35094560",1,978
52617,"X87141075",0,1285
52617,"N21865304",1,825
52617,"Z03739780",0,1253
52617,"H62513743",1,1047
52617,"V37505041",0,1908
52617,"A70181297",0,166
52617,"U91638686",1,1716
52617,"K79111794",0,526
52617,"F99935525",0,1467
52617,"P58663688",0,1142
52617,"I21538314",0,1343
52617,"Q05821458",0,1602
52617,"Y63232899",0,313
52617,"S49326256",1,1629
52617,"M28096918",1,909
53495,"Z37243779",0,1677
53495,"X98818477",0,294
53495,"T17438202",0,93
53495,"W07524716",0,307
53495,"T23171267",0,1227
53495,"L91622179",1,2113
53495,"W28554601",1,659
10968,"C87088276",1,627
10968,"Y59806582",1,1850
10968,"G93936047",1,734
10968,"F03460205",0,1385
10968,"D31183320",0,185
10968,"O00817210",1,326
10968,"Y74632116",1,1748
42889,"A01017010",1,454
42889,"X42222165",1,1717
42889,"B49521526",1,1381
42889,"R34971747",0,1778
42889,"Z73459514",1,1906
42889,"N57367283",1,345
42889,"V24692393",1,2165
42889,"S93883649",0,1610
42889,"N19668468",0,519
42889,"G17976873",1,247
42889,"E15619674",1,649
74493,"A32097311",1,1024
74493,"R79199764",0,559
74493,"U91088116",1,773
74493,"D37916514",1,874
74493,"K82333490",1,2132
74493,"C18234231",1,2259
74493,"F47832096",0,197
74493,"F35332776",1,2081
74493,"C18432597",0,1352
74493,"V00798430",1,526
74493,"A37861046",1,1897
74493,"Z39221585",0,1207
74493,"H66594759",0,273
74493,"Q39837324",0,1504
74493,"P94582243",1,1692
74493,"J19167949",1,1153
55641,"H62763555",1,1967
55641,"E95476659",0,1644
55641,"L64066038",0,2335
55641,"S96748845",1,1524
55641,"I61433580",1,1659
53897,"L97170094",1,1898
53897,"S41266235",0,965
53897,"X59761183",0,773
53897,"J85669269",0,1315
53897,"C61720625",1,2073
53897,"E15296561",1,468
53897,"P94537198",0,471
53897,"O48244219",0,446
53897,"W36423695",1,1623
53897,"I47946853",0,1030
53897,"O96414834",1,2168
53897,"Q27068336",0,763
53897,"L89730085",1,2229
53897,"U09783773",0,1963
53897,"T38845895",0,1788
53897,"F59017938",0,1901
53897,"J68666359",1,414
53897,"Q27069726",1,1242
46632,"N34704583",1,1909
46632,"W31712999",1,1713
46632,"Z79371722",0,2319
46632,"F34604305",0,748
46632,"V46283398",1,1414
46632,"M49326624",1,1239
46632,"B20956092",1,1073
46632,"C53389515",0,1559
46632,"C60779272",0,1250
46632,"C95083037",1,1055
46632,"L29039567",1,1005
11826,"R97136281",1,2194
11826,"T66410442",1,1172
11826,"G10035871",1,571
11826,"H42638174",0,318
11826,"P60180024",0,124
11826,"Y08688751",0,1186
11826,"M39767355",0,906
11826,"I91365149",0,192
11826,"Y53636149",1,1461
11826,"I22244106",1,2299
